TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE
AgentActivity,PgmOpt,varchar,5,YES
AgentActivity,ActvFlag,tinyint,,YES
AgentActivity,ActvRank,tinyint,,YES
AgentActivity,ActvDate,datetime,,YES
AgentActivity,VAUid,varchar,32,YES
AgentActivity,VActr,int,,YES
AgentActivity,VATermId,varchar,32,YES
AgentActivity,VACompCode,varchar,16,YES
AgentActivity,HOcompcd,varchar,32,NO
BaleDtl,SuppCd,varchar,32,NO
BaleDtl,DCNo,varchar,32,NO
BaleDtl,DCDate,datetime,,NO
BaleDtl,BaleNo,varchar,32,NO
BaleDtl,Status,varchar,2,YES
BaleDtl,VAUid,varchar,32,YES
BaleDtl,VActr,int,,YES
BaleDtl,VATermId,varchar,32,YES
BaleDtl,VACompCode,varchar,16,YES
BaseCompTemplate,TMPLIDNO,int,,NO
BaseCompTemplate,TMPLEXTN,varchar,16,YES
BaseCompTemplate,SRLNO,int,,YES
BaseCompTemplate,TMPLFILEDTLS,varchar,256,YES
BaseCompTemplate,TMPLCOMPTYPE,varchar,16,YES
BaseCompTemplate,TMPLLINEDTLS,varchar,6000,YES
BaseCompTemplate,VAUid,varchar,32,YES
BaseCompTemplate,VActr,int,,YES
BaseCompTemplate,VATermId,varchar,32,YES
BaseCompTemplate,VACompCode,varchar,16,YES
BillDueStatusDtls,SourceCompCode,varchar,16,NO
BillDueStatusDtls,DestCompCode,varchar,16,NO
BillDueStatusDtls,RecvTrnType,int,,NO
BillDueStatusDtls,RecvTrnCtrlNo,int,,NO
BillDueStatusDtls,RecvTrnSrlNo,int,,NO
BillDueStatusDtls,Recvdocnoprefix,varchar,8,YES
BillDueStatusDtls,Recvdocno,int,,YES
BillDueStatusDtls,RecvDocDate,datetime,,YES
BillDueStatusDtls,RecvDocTime,datetime,,YES
BillDueStatusDtls,RecvAmount,money,,YES
BillDueStatusDtls,RecvVoidInd,smallint,,YES
BillDueStatusDtls,RecvTranStatus,smallint,,YES
BillDueStatusDtls,SourcePosCashTrnType,int,,YES
BillDueStatusDtls,SourcePosCashCtrlNo,int,,YES
BillDueStatusDtls,SourcePosCashDocNoPrefix,varchar,8,YES
BillDueStatusDtls,SourcePosCashDocNo,int,,YES
BillDueStatusDtls,CustCd,varchar,32,YES
BillDueStatusDtls,BillSourceCompCode,varchar,16,YES
BillDueStatusDtls,Trntype,int,,YES
BillDueStatusDtls,TrnCtrlNo,int,,YES
BillDueStatusDtls,DocNoPrefix,varchar,8,YES
BillDueStatusDtls,DocNo,int,,YES
BillDueStatusDtls,DateInsert,datetime,,YES
BillDueStatusDtls,VaUid,varchar,32,YES
BillDueStatusDtls,VActr,int,,YES
BillDueStatusDtls,VATermId,varchar,32,YES
BillDueStatusDtls,VACompCode,varchar,16,YES
BillDueStatusHdr,SourceCompCode,varchar,16,NO
BillDueStatusHdr,DestCompCode,varchar,16,NO
BillDueStatusHdr,Trntype,int,,NO
BillDueStatusHdr,TrnCtrlNo,int,,NO
BillDueStatusHdr,DocNoPrefix,varchar,8,YES
BillDueStatusHdr,DocNo,int,,YES
BillDueStatusHdr,DocDt,datetime,,YES
BillDueStatusHdr,CustCd,varchar,32,YES
BillDueStatusHdr,CustName,varchar,60,YES
BillDueStatusHdr,BillNetValue,money,,YES
BillDueStatusHdr,ReceivableAmount,money,,YES
BillDueStatusHdr,BillRetAmount,money,,YES
BillDueStatusHdr,BillStatus,smallint,,YES
BillDueStatusHdr,Remarks,varchar,256,YES
BillDueStatusHdr,VoidInd,smallint,,YES
BillDueStatusHdr,DateInsert,datetime,,YES
BillDueStatusHdr,VaUid,varchar,32,YES
BillDueStatusHdr,VActr,int,,YES
BillDueStatusHdr,VATermId,varchar,32,YES
BillDueStatusHdr,VACompCode,varchar,16,YES
BillPassdtls,TrnType,int,,NO
BillPassdtls,TrnCtrlNo,int,,NO
BillPassdtls,Srlno,int,,NO
BillPassdtls,Trndt,datetime,,YES
BillPassdtls,InvNo,varchar,20,YES
BillPassdtls,InvDt,datetime,,YES
BillPassdtls,DcNo,varchar,20,YES
BillPassdtls,DcDt,datetime,,YES
BillPassdtls,StockNo,varchar,32,YES
BillPassdtls,InvRate,money,,YES
BillPassdtls,InvQty,int,,YES
BillPassdtls,VAUid,varchar,32,YES
BillPassdtls,VActr,int,,YES
BillPassdtls,VATermId,varchar,32,YES
BillPassdtls,VACompCode,varchar,16,YES
BillPassHdr,TrnType,int,,NO
BillPassHdr,TrnCtrlNo,int,,NO
BillPassHdr,Trndt,datetime,,YES
BillPassHdr,SupplierId,varchar,32,YES
BillPassHdr,InvNo,varchar,20,YES
BillPassHdr,InvDt,datetime,,YES
BillPassHdr,ShortQty,int,,YES
BillPassHdr,ShortVal,money,,YES
BillPassHdr,ExssQty,int,,YES
BillPassHdr,ExssVal,money,,YES
BillPassHdr,Tax,money,,YES
BillPassHdr,Addons,money,,YES
BillPassHdr,Dedns,money,,YES
BillPassHdr,Discount,money,,YES
BillPassHdr,NetAmt,money,,YES
BillPassHdr,PurValue,money,,YES
BillPassHdr,BillPassStat,int,,YES
BillPassHdr,VAUid,varchar,32,YES
BillPassHdr,VActr,int,,YES
BillPassHdr,VATermId,varchar,32,YES
BillPassHdr,VACompCode,varchar,16,YES
BrowseSettings,BrowseID,varchar,16,YES
BrowseSettings,BrowseType,varchar,64,YES
BrowseSettings,BrowseName,varchar,16,YES
BrowseSettings,UserId,varchar,16,YES
BrowseSettings,AppName,varchar,32,YES
BrowseSettings,TrnType,int,,YES
BrowseSettings,FldName,varchar,64,YES
BrowseSettings,FldCaption,varchar,64,YES
BrowseSettings,FldType,varchar,16,YES
BrowseSettings,FldEnabled,bit,,YES
BrowseSettings,DispInBrowse,bit,,YES
BrowseSettings,DispInFilter,bit,,YES
BrowseSettings,DispInResult,bit,,YES
BrowseSettings,AlowFilter,bit,,YES
BrowseSettings,Condition,varchar,16,YES
BrowseSettings,SearchVal1,varchar,1000,YES
BrowseSettings,SearchVal2,varchar,1000,YES
BrowseSettings,OthValue,varchar,1000,YES
BrowseSettings,SortOrder,int,,YES
BrowseSettings,VaUid,varchar,32,YES
BrowseSettings,VaCtr,int,,YES
BrowseSettings,VaTermId,varchar,32,YES
BrowseSettings,VaCompCode,varchar,16,YES
CatalogSettings,AppName,varchar,64,NO
CatalogSettings,FormName,varchar,64,NO
CatalogSettings,FldName,varchar,64,NO
CatalogSettings,ShoperEnvType,smallint,,NO
CatalogSettings,PgmOption,smallint,,NO
CatalogSettings,UserId,varchar,16,NO
CatalogSettings,FldCaption,varchar,64,YES
CatalogSettings,FldType,varchar,16,YES
CatalogSettings,FldEnabled,smallint,,YES
CatalogSettings,DisplayFlag,smallint,,YES
CatalogSettings,ActiveFlag,smallint,,YES
CatalogSettings,OthValue1,varchar,1032,YES
CatalogSettings,OthValue2,varchar,1032,YES
CatalogSettings,OthValue3,varchar,1032,YES
CatalogSettings,VaUid,varchar,32,YES
CatalogSettings,VaCtr,int,,YES
CatalogSettings,VaTermId,varchar,32,YES
CatalogSettings,VaCompCode,varchar,16,YES
ChainStores,Code,varchar,16,NO
ChainStores,Type,int,,YES
ChainStores,Nm,varchar,60,YES
ChainStores,MailListSrlNo,int,,YES
ChainStores,AllowMiscRcpt,bit,,YES
ChainStores,AllowMiscIssue,bit,,YES
ChainStores,VAUid,varchar,32,YES
ChainStores,VActr,int,,YES
ChainStores,VATermId,varchar,32,YES
ChainStores,VACompCode,varchar,16,YES
ChainStores,SHOPERComp,varchar,4,YES
ChainStores,SHOPERVer,varchar,16,YES
ChainStores,SHOPERDelimiter,varchar,4,YES
ChainStores,SHOPEREnv,varchar,4,YES
ChainStores,BuyingFactor,money,,YES
ChainStores,SellingFactor,money,,YES
ChainStores,SrcTaxType,varchar,16,YES
ChainStores,POApplicable,int,,YES
ChainStores,LstNo,varchar,50,YES
ChainStores,CstNo,varchar,50,YES
ChainStores,WSLink,varchar,256,YES
ChainStores,WSUserName,varchar,32,YES
ChainStores,WSPassword,varchar,64,YES
ChainStores,WSSSL,smallint,,YES
Class12Combo,Class1Cd,varchar,16,NO
Class12Combo,Class2Cd,varchar,16,NO
Class12Combo,Billable,bit,,YES
Class12Combo,SizeGroup,varchar,16,YES
Class12Combo,RetailMarkUp,money,,YES
Class12Combo,DealerMarkUp,money,,YES
Class12Combo,PrefVendorId,varchar,16,YES
Class12Combo,AltVendorId1,varchar,16,YES
Class12Combo,AltVendorId2,varchar,16,YES
Class12Combo,AltVendorId3,varchar,16,YES
Class12Combo,ProdTaxType,varchar,16,YES
Class12Combo,SuperClass1,varchar,16,YES
Class12Combo,SuperClass2,varchar,16,YES
Class12Combo,IsServiceCombo,bit,,YES
Class12Combo,IsConsignmentItem,bit,,YES
Class12Combo,VAUid,varchar,32,YES
Class12Combo,VActr,int,,YES
Class12Combo,VATermId,varchar,32,YES
Class12Combo,VACompCode,varchar,16,YES
Class12Combo,Dateinsert,datetime,,YES
Class12Combo,Lastupdateddate,datetime,,YES
Class12Combo,BatchApplicable,tinyint,,YES
Class12Combo,BatchMfgFormat,tinyint,,YES
Class12Combo,BatchExpFormat,tinyint,,YES
Class12Combo,BatchShelfApp,tinyint,,YES
Class12Combo,BatchPriceApp,tinyint,,YES
Class12Combo,BatchExpirTrnAllowed,varchar,32,YES
Class12Combo,StopSalesBefExpDays,smallint,,YES
Class12Combo,GradeApplicable,tinyint,,YES
Class12Combo,GradePriceApp,tinyint,,YES
Class12Combo,GradePromoApp,tinyint,,YES
Class12Combo,LocationApplicable,tinyint,,YES
Class12Combo,ServiceType1,smallint,,YES
Class12Combo,ServiceType2,smallint,,YES
Class12Combo,ServiceType3,smallint,,YES
Class12Combo,ServiceType4,smallint,,YES
Class12Combo,ServiceType5,smallint,,YES
Class12LocWise,Class1Cd,varchar,16,NO
Class12LocWise,Class1CdDesc,varchar,50,YES
Class12LocWise,Class2Cd,varchar,16,NO
Class12LocWise,Class2CdDesc,varchar,50,YES
Class12LocWise,SubClass1Cd,varchar,16,YES
Class12LocWise,SubClass2Cd,varchar,16,YES
Class12LocWise,SizeCd,varchar,16,YES
Class12LocWise,LocPriceAppl,int,,YES
Class12LocWise,MultiplePriceApplicable,int,,YES
Class12LocWise,SendBaseIMForNotDefined,int,,YES
Class12LocWise,Remarks,varchar,256,YES
Class12LocWise,VaUID,varchar,32,YES
Class12LocWise,VaCtr,int,,YES
Class12LocWise,VaTermID,varchar,32,YES
Class12LocWise,VaCompCode,varchar,16,YES
Class12LocWise,BatchWisePriceAppl,int,,YES
Class12LocWise,GradeWisePriceAppl,int,,YES
Class12LocWise,MfgDateAppl,int,,YES
Class12LocWise,ExpDateAppl,int,,YES
CommConfig,SyncType,varchar,128,NO
CommConfig,Mode,varchar,64,NO
CommConfig,Active,int,,YES
CommConfig,ConfigXML,varchar,8000,YES
CommConfig,VAUid,varchar,32,YES
CommConfig,VActr,int,,YES
CommConfig,VATermId,varchar,32,YES
CommConfig,VACompCode,varchar,16,YES
COMPAREQTY,ACTQTY,money,,YES
COMPAREQTY,DTLSQTY,money,,YES
COMPAREQTY,SUMMQTY,money,,YES
ConFinSchemeDtls,PayModeType,int,,NO
ConFinSchemeDtls,PayModeCode,varchar,16,NO
ConFinSchemeDtls,SchemeCode,varchar,16,NO
ConFinSchemeDtls,SchemeName,varchar,64,YES
ConFinSchemeDtls,ActiveFlag,smallint,,YES
ConFinSchemeDtls,StartDate,datetime,,YES
ConFinSchemeDtls,EndDate,datetime,,YES
ConFinSchemeDtls,NoOfInstallments,int,,YES
ConFinSchemeDtls,DownPayment,int,,YES
ConFinSchemeDtls,DateInsert,datetime,,YES
ConFinSchemeDtls,VaUid,varchar,32,YES
ConFinSchemeDtls,VaCtr,int,,YES
ConFinSchemeDtls,VaTermId,varchar,32,YES
ConFinSchemeDtls,VaCompCode,varchar,16,YES
crdtinvrcvdtls,recvtrntype,int,,NO
crdtinvrcvdtls,recvctrlno,int,,NO
crdtinvrcvdtls,recvsrlno,int,,NO
crdtinvrcvdtls,recvdocnoprefix,varchar,8,YES
crdtinvrcvdtls,recvdocno,int,,YES
crdtinvrcvdtls,recvdocdt,datetime,,NO
crdtinvrcvdtls,recvdoctime,datetime,,YES
crdtinvrcvdtls,recvtranstatus,int,,YES
crdtinvrcvdtls,poscashtrntype,int,,YES
crdtinvrcvdtls,poscashctrlno,int,,YES
crdtinvrcvdtls,poscashdocprefix,varchar,8,YES
crdtinvrcvdtls,poscashdocno,int,,YES
crdtinvrcvdtls,poscashdocdt,datetime,,YES
crdtinvrcvdtls,salereftrntype,int,,YES
crdtinvrcvdtls,salerefctrlno,int,,YES
crdtinvrcvdtls,salerefdocnoprefix,varchar,8,YES
crdtinvrcvdtls,salerefdocno,int,,YES
crdtinvrcvdtls,salerefdocdt,datetime,,YES
crdtinvrcvdtls,billpaidamt,money,,YES
crdtinvrcvdtls,XS1,varchar,128,YES
crdtinvrcvdtls,XS2,varchar,128,YES
crdtinvrcvdtls,XS3,varchar,128,YES
crdtinvrcvdtls,XS4,varchar,128,YES
crdtinvrcvdtls,XS5,varchar,128,YES
crdtinvrcvdtls,XS6,varchar,128,YES
crdtinvrcvdtls,XS7,varchar,128,YES
crdtinvrcvdtls,XS8,varchar,128,YES
crdtinvrcvdtls,XI1,int,,YES
crdtinvrcvdtls,XI2,int,,YES
crdtinvrcvdtls,XI3,int,,YES
crdtinvrcvdtls,XI4,int,,YES
crdtinvrcvdtls,XM1,money,,YES
crdtinvrcvdtls,XM2,money,,YES
crdtinvrcvdtls,XM3,money,,YES
crdtinvrcvdtls,XM4,money,,YES
crdtinvrcvdtls,XD1,datetime,,YES
crdtinvrcvdtls,XD2,datetime,,YES
crdtinvrcvdtls,XD3,datetime,,YES
crdtinvrcvdtls,XD4,datetime,,YES
crdtinvrcvdtls,CS1,varchar,128,YES
crdtinvrcvdtls,CS2,varchar,128,YES
crdtinvrcvdtls,CS3,varchar,128,YES
crdtinvrcvdtls,CS4,varchar,128,YES
crdtinvrcvdtls,CS5,varchar,128,YES
crdtinvrcvdtls,CS6,varchar,128,YES
crdtinvrcvdtls,CS7,varchar,128,YES
crdtinvrcvdtls,CS8,varchar,128,YES
crdtinvrcvdtls,CI1,int,,YES
crdtinvrcvdtls,CI2,int,,YES
crdtinvrcvdtls,CI3,int,,YES
crdtinvrcvdtls,CI4,int,,YES
crdtinvrcvdtls,CM1,money,,YES
crdtinvrcvdtls,CM2,money,,YES
crdtinvrcvdtls,CM3,money,,YES
crdtinvrcvdtls,CM4,money,,YES
crdtinvrcvdtls,CD1,datetime,,YES
crdtinvrcvdtls,CD2,datetime,,YES
crdtinvrcvdtls,CD3,datetime,,YES
crdtinvrcvdtls,CD4,datetime,,YES
crdtinvrcvdtls,VAUid,varchar,32,YES
crdtinvrcvdtls,VActr,int,,YES
crdtinvrcvdtls,VATermId,varchar,32,YES
crdtinvrcvdtls,VACompCode,varchar,16,YES
crdtinvrcvdtls,custcd,varchar,32,YES
crdtinvrcvdtls,sourcecompcd,varchar,16,YES
crdtinvrcvdtls,destcompcd,varchar,16,YES
crdtinvrcvhdr,recvtrntype,int,,NO
crdtinvrcvhdr,recvctrlno,int,,NO
crdtinvrcvhdr,recvsrlno,int,,NO
crdtinvrcvhdr,recvdocnoprefix,varchar,8,YES
crdtinvrcvhdr,recvdocno,int,,YES
crdtinvrcvhdr,recvdocdt,datetime,,NO
crdtinvrcvhdr,recvdoctime,datetime,,YES
crdtinvrcvhdr,custcd,varchar,32,YES
crdtinvrcvhdr,poscashtrntype,int,,YES
crdtinvrcvhdr,poscashctrlno,int,,YES
crdtinvrcvhdr,poscashdocnoprefix,varchar,8,YES
crdtinvrcvhdr,poscashdocno,int,,YES
crdtinvrcvhdr,recvtotamt,money,,YES
crdtinvrcvhdr,recvnarration,varchar,256,YES
crdtinvrcvhdr,recvtranstatus,int,,YES
crdtinvrcvhdr,voidind,int,,YES
crdtinvrcvhdr,totalinvoicecnt,int,,YES
crdtinvrcvhdr,XS1,varchar,128,YES
crdtinvrcvhdr,XS2,varchar,128,YES
crdtinvrcvhdr,XS3,varchar,128,YES
crdtinvrcvhdr,XS4,varchar,128,YES
crdtinvrcvhdr,XS5,varchar,128,YES
crdtinvrcvhdr,XS6,varchar,128,YES
crdtinvrcvhdr,XS7,varchar,128,YES
crdtinvrcvhdr,XS8,varchar,128,YES
crdtinvrcvhdr,XI1,int,,YES
crdtinvrcvhdr,XI2,int,,YES
crdtinvrcvhdr,XI3,int,,YES
crdtinvrcvhdr,XI4,int,,YES
crdtinvrcvhdr,XM1,money,,YES
crdtinvrcvhdr,XM2,money,,YES
crdtinvrcvhdr,XM3,money,,YES
crdtinvrcvhdr,XM4,money,,YES
crdtinvrcvhdr,XD1,datetime,,YES
crdtinvrcvhdr,XD2,datetime,,YES
crdtinvrcvhdr,XD3,datetime,,YES
crdtinvrcvhdr,XD4,datetime,,YES
crdtinvrcvhdr,CS1,varchar,128,YES
crdtinvrcvhdr,CS2,varchar,128,YES
crdtinvrcvhdr,CS3,varchar,128,YES
crdtinvrcvhdr,CS4,varchar,128,YES
crdtinvrcvhdr,CS5,varchar,128,YES
crdtinvrcvhdr,CS6,varchar,128,YES
crdtinvrcvhdr,CS7,varchar,128,YES
crdtinvrcvhdr,CS8,varchar,128,YES
crdtinvrcvhdr,CI1,int,,YES
crdtinvrcvhdr,CI2,int,,YES
crdtinvrcvhdr,CI3,int,,YES
crdtinvrcvhdr,CI4,int,,YES
crdtinvrcvhdr,CM1,money,,YES
crdtinvrcvhdr,CM2,money,,YES
crdtinvrcvhdr,CM3,money,,YES
crdtinvrcvhdr,CM4,money,,YES
crdtinvrcvhdr,CD1,datetime,,YES
crdtinvrcvhdr,CD2,datetime,,YES
crdtinvrcvhdr,CD3,datetime,,YES
crdtinvrcvhdr,CD4,datetime,,YES
crdtinvrcvhdr,VAUid,varchar,32,YES
crdtinvrcvhdr,VActr,int,,YES
crdtinvrcvhdr,VATermId,varchar,32,YES
crdtinvrcvhdr,VACompCode,varchar,16,YES
crdtinvrcvhdr,againsttripsheet,varchar,255,YES
crdtinvrcvhdr,againstpaytype,varchar,255,YES
crdtsalecustopbal,trntype,int,,NO
crdtsalecustopbal,trnctrlno,int,,NO
crdtsalecustopbal,trndt,datetime,,NO
crdtsalecustopbal,srlno,int,,NO
crdtsalecustopbal,custcd,varchar,32,YES
crdtsalecustopbal,trntime,datetime,,YES
crdtsalecustopbal,cutoffdt,datetime,,YES
crdtsalecustopbal,trnamt,money,,YES
crdtsalecustopbal,VAUid,varchar,32,YES
crdtsalecustopbal,VActr,int,,YES
crdtsalecustopbal,VATermId,varchar,32,YES
crdtsalecustopbal,VACompCode,varchar,16,YES
CRMFinalCustomer,QueryName,varchar,256,YES
CRMFinalCustomer,QueryId,varchar,32,NO
CRMFinalCustomer,QrySrlNo,int,,NO
CRMFinalCustomer,QueryExeDate,datetime,,YES
CRMFinalCustomer,NM,varchar,256,YES
CRMFinalCustomer,StreetAddr,varchar,256,YES
CRMFinalCustomer,Town,varchar,256,YES
CRMFinalCustomer,PostalCd,varchar,256,YES
CRMFinalCustomer,State,varchar,256,YES
CRMFinalCustomer,Country,varchar,32,YES
CRMFinalCustomer,Locality,varchar,64,YES
CRMFinalCustomer,HomePhone,varchar,32,YES
CRMFinalCustomer,MobilePhone,varchar,32,YES
CRMFinalCustomer,Email,varchar,64,YES
CRMFinalCustomer,Email2,varchar,64,YES
CRMFinalCustomer,VAUid,varchar,32,YES
CRMFinalCustomer,VActr,int,,YES
CRMFinalCustomer,VATermId,varchar,32,YES
CRMFinalCustomer,VACompCode,varchar,16,YES
CRMQryInfo,QueryId,int,,NO
CRMQryInfo,QueryName,varchar,30,YES
CRMQryInfo,Fieldname,varchar,40,YES
CRMQryInfo,QueryCreationDate,datetime,,YES
CRMQryInfo,QueryLastExecDate,datetime,,YES
CRMQryInfo,CustQueryString,varchar,2048,YES
CRMQryInfo,ProdQueryString,varchar,2048,YES
CRMQryInfo,BasedOnPurchaseString,varchar,3200,YES
CRMQryInfo,VAUid,varchar,32,YES
CRMQryInfo,VActr,int,,YES
CRMQryInfo,VATermId,varchar,32,YES
CRMQryInfo,VACompCode,varchar,16,YES
CrmQryStruc,QueryId,int,,NO
CrmQryStruc,QrySrlNo,int,,NO
CrmQryStruc,QueryFirLevelfilter,varchar,256,YES
CrmQryStruc,FieldName,varchar,180,YES
CrmQryStruc,Criteria,varchar,2068,YES
CrmQryStruc,QueryJoin,varchar,10,YES
CrmQryStruc,SField,varchar,256,YES
CrmQryStruc,FField,varchar,256,YES
CrmQryStruc,VAUid,varchar,32,YES
CrmQryStruc,VActr,int,,YES
CrmQryStruc,VATermId,varchar,32,YES
CrmQryStruc,VACompCode,varchar,16,YES
CurrencyCat,Code,varchar,16,NO
CurrencyCat,Nm,varchar,32,YES
CurrencyCat,IsAllowedInPO,bit,,YES
CurrencyCat,IsAllowedAsTender,bit,,YES
CurrencyCat,IsAllowedInPayout,bit,,YES
CurrencyCat,ConvRate,money,,YES
CurrencyCat,RateDate,datetime,,YES
CurrencyCat,RateTime,datetime,,YES
CurrencyCat,RateChgFreq,int,,YES
CurrencyCat,RateChgTimeUnit,varchar,2,YES
CurrencyCat,LocalCurrency,bit,,YES
CurrencyCat,VAUid,varchar,32,YES
CurrencyCat,VActr,int,,YES
CurrencyCat,VATermId,varchar,32,YES
CurrencyCat,VACompCode,varchar,16,YES
CurrencyCat,DecimalDesc,varchar,256,YES
CurrencyCat,CurSymbol,varchar,64,YES
CurrencyDenomination,Code,varchar,16,NO
CurrencyDenomination,SrlNo,int,,NO
CurrencyDenomination,DenomCap,varchar,64,YES
CurrencyDenomination,Denominations,int,,YES
CurrencyDenomination,SmallestUnit,int,,YES
CurrencyDenomination,Active,int,,YES
CurrencyDenomination,ImageId,varchar,64,YES
CurrencyDenomination,VAUid,varchar,32,YES
CurrencyDenomination,VActr,int,,YES
CurrencyDenomination,VATermId,varchar,32,YES
CurrencyDenomination,VACompCode,varchar,16,YES
CustomerImport,Code,varchar,32,YES
CustomerImport,Nm,varchar,60,YES
