TABLE_NAME,COLUMN_NAME,DATA_TYPE
DownloadParams,DayEndDate,datetime
ExchangeOldItems,DateInsert,datetime
ExciseDutyDtls,ShoperDate,datetime
ExciseDutyDtls,SystemDate,datetime
ExciseDutyDtls,StartDate,datetime
ExciseDutyDtls,EndDate,datetime
ExpectedTrnAddonDed,XD1,datetime
ExpectedTrnAddonDed,XD2,datetime
ExpectedTrnAddonDed,XD3,datetime
ExpectedTrnAddonDed,XD4,datetime
ExpectedTrnAddonDed,CD1,datetime
ExpectedTrnAddonDed,CD2,datetime
ExpectedTrnAddonDed,CD3,datetime
ExpectedTrnAddonDed,CD4,datetime
ExpectedTrnDtls,LinkPoDelDate,datetime
ExpectedTrnDtls,DocDt,datetime
ExpectedTrnDtls,XD1,datetime
ExpectedTrnDtls,XD2,datetime
ExpectedTrnDtls,XD3,datetime
ExpectedTrnDtls,XD4,datetime
ExpectedTrnDtls,CD1,datetime
ExpectedTrnDtls,CD2,datetime
ExpectedTrnDtls,CD3,datetime
ExpectedTrnDtls,CD4,datetime
ExpectedTrnHdr,CreatedDt,datetime
ExpectedTrnHdr,TrialDate,datetime
ExpectedTrnHdr,DelivaryDate,datetime
ExpectedTrnHdr,TransDocDate,datetime
ExpectedTrnHdr,DocTime,datetime
ExpectedTrnHdr,PartyStkDocDt,datetime
ExpectedTrnHdr,OrdDocDt,datetime
ExpectedTrnHdr,XD1,datetime
ExpectedTrnHdr,XD2,datetime
ExpectedTrnHdr,XD3,datetime
ExpectedTrnHdr,XD4,datetime
ExpectedTrnHdr,CD1,datetime
ExpectedTrnHdr,CD2,datetime
ExpectedTrnHdr,CD3,datetime
ExpectedTrnHdr,CD4,datetime
ExpectedTrnRcpts,XD1,datetime
ExpectedTrnRcpts,XD2,datetime
ExpectedTrnRcpts,XD3,datetime
ExpectedTrnRcpts,XD4,datetime
ExpectedTrnRcpts,CD1,datetime
ExpectedTrnRcpts,CD2,datetime
ExpectedTrnRcpts,CD3,datetime
ExpectedTrnRcpts,CD4,datetime
ExportSysparam,Dt,datetime
ExptTrnDtlsExtd01,DateInsert,datetime
ExtdMailingList,DateInsert,datetime
ExtdMailingList,LastUpdatedDate,datetime
FactorHeader,EffectiveDate,datetime
FactorHeader,DateInsert,datetime
FileLoadingStatus,dateinsert,datetime
FilesFromHO,DateInsert,datetime
franchiseelog,shoperdt,datetime
FranchiseeTrans,TrnDate,datetime
FranchiseeTrans,ChqDate,datetime
FranchiseeTrans,PayInSlipDate,datetime
Franchiselstloadeddtls,shoper_sysdt,datetime
Franchiselstloadeddtls,LastLoadedDate,datetime
Franchiselstloadeddtls,RecordFoundDate,datetime
franmismatchlog,shoperdt,datetime
GS1Dtls,DateInsert,datetime
IncDefTable,DateInsert,datetime
IncentiveGrpItemDtls,DateInsert,datetime
IncShrmPeriodDtls,FromDate,datetime
IncShrmPeriodDtls,ToDate,datetime
IncShrmPeriodDtls,DateInsert,datetime
IniLoadingErrorLog,RunDate,datetime
InPackSlipHdr,DocDt,datetime
InPackSlipHdr,PartyStkDocDt,datetime
InPackSlipHdr,XD1,datetime
InPackSlipHdr,XD2,datetime
InPackSlipHdr,XD3,datetime
InPackSlipHdr,XD4,datetime
InPackSlipHdr,CD1,datetime
InPackSlipHdr,CD2,datetime
InPackSlipHdr,CD3,datetime
InPackSlipHdr,CD4,datetime
InPackSlipTrn,XD1,datetime
InPackSlipTrn,XD2,datetime
InPackSlipTrn,XD3,datetime
InPackSlipTrn,XD4,datetime
InPackSlipTrn,CD1,datetime
InPackSlipTrn,CD2,datetime
InPackSlipTrn,CD3,datetime
InPackSlipTrn,CD4,datetime
ItemClassRestrict,DateInsert,datetime
ItemMapping,Dateinsert,datetime
ItemMappingRules,DateInsert,datetime
ItemMaster,MfgDate,datetime
ItemMaster,ExpDate,datetime
ItemMaster,DField1,datetime
ItemMaster,DField2,datetime
ItemMaster,DField3,datetime
ItemMaster,Dateinsert,datetime
ItemMaster,Lastupdateddate,datetime
ItemMasterExtd01,BatchMfgDate,smalldatetime
ItemMasterExtd01,BatchExpDate,smalldatetime
ItemMasterExtd01,DateInsert,smalldatetime
ItemMasterLog,SysDate,datetime
ItemMasterLog,ShoperDate,datetime
ItemMasterLog,SysTime,datetime
ItemMasterLog,MfgDate,datetime
ItemMasterLog,ExpDate,datetime
ItemMasterLog,DField1,datetime
ItemMasterLog,DField2,datetime
ItemMasterLog,DField3,datetime
ItemReClassHeader,ShoperDate,datetime
ItemReClassHeader,SystemDate,datetime
ItemReClassHeader,AtHOLastRunDate,datetime
ItemReClassHeader,AtPOSLastRunDate,datetime
ItemReClassHeader,AtReplPOSLastRunDate,datetime
ItemsFromHO,Dateinsert,datetime
ItemTagConfig,DateInsert,datetime
ItemTagConfigFromHO,DateInsert,datetime
ItemTagDtls,DateInsert,datetime
KPIDtls,DocDt,datetime
LogAgentActivity,transdt,datetime
LogAgentActivity,ShoperDt,datetime
LogDataExtractDetail,Transdate,datetime
LogDataExtractsummary,shoper_sysdt,datetime
LogDataExtractsummary,DtTime_RunStart,datetime
LogDataExtractsummary,DtTime_RunEnd,datetime
LogDataExtractsummary,ConsistencyCheck_starttime,datetime
LogDataExtractsummary,ConsistencyCheck_endtime,datetime
LogDataExtractsummary,ack_dt,datetime
LogDataSync,Trans_Dt,datetime
LogDataSync,Ack_Dt,datetime
logdbtuningconfig,execdt,datetime
LogTilldtls,TillTrndt,datetime
LogTilldtls,OpenTime,datetime
logwgsync,shoperdt,datetime
logwgsync,syncdt,datetime
logwgsync,ackdt,datetime
LstLoadedDtls,shoper_sysdt,datetime
LstLoadedDtls,LastLoadedDate,datetime
LstLoadedDtls,RecordFoundDate,datetime
MessageCentre,DisplayDate,datetime
MessageCentre,MsgExpiryDate,datetime
MessageCentre,CreatedDate,datetime
MessageCentre,POSRcvdDate,datetime
MessageCentreLog,SystemDate,datetime
MessageCentreLog,ShoperDate,datetime
Mismatchvalue,Shoper_SysDt,datetime
Mismatchvalue,TransDate,datetime
MissingDocNo,DocDt,datetime
MultiplePrices,RetailPriceEffectiveDate,datetime
MultiplePrices,DealerPriceEffectiveDate,datetime
MultiplePrices,CurrentCostEffectiveDate,datetime
MultiplePrices,LastPurchPriceEffectiveDate,datetime
MultiplePrices,ShoperDate,datetime
MultiplePrices,SystemDate,datetime
MultiplePrices,DateInsert,datetime
ONACCcrdtntLinktbldtls,docdt,datetime
ONACCcrdtntLinktbldtls,ONACCdocdt,datetime
ONACCcrdtntLinktblhdr,docdt,datetime
ONACCcrdtntLinktblhdr,ONACCdocdt,datetime
ONACCcrdtntLinktblhdr,GENdocdt,datetime
PayModeConfig,DateInsert,datetime
PCBillDtls,DocDt,datetime
Personnel,DOJ,datetime
Personnel,DOB,datetime
Personnel,EffectiveDateofDeactivation,datetime
Personnel,DateInsert,datetime
Personnel,DateOfCatalog,datetime
PersonnelShrmWise,FromDate,datetime
PersonnelShrmWise,ToDate,datetime
PersonnelShrmWise,DateInsert,datetime
PhyStkDtls,EntDt,datetime
PhyStkDtls,EntTime,datetime
PhyStkDtls,RecDt,datetime
PhyStkDtls,RecTime,datetime
PhyStkDtlsExtd01,EntDt,datetime
PhyStkDtlsExtd01,EntTime,datetime
PhyStkDtlsExtd01,RecDt,datetime
PhyStkDtlsExtd01,RecTime,datetime
PhyStkHdr,BatchStDt,datetime
PhyStkHdr,BatchStTime,datetime
PhyStkHdr,BatchEndDt,datetime
PhyStkHdr,BatchEndTime,datetime
PhyStockTakingItemBkUp,RecDt,datetime
PhyStockTakingItemBkUp,RecTime,datetime
PhyStockTakingItemBkUp01,RecDt,datetime
PhyStockTakingItemBkUp01,RecTime,datetime
PhyTmpStkTrnDtls,DocDt,datetime
PhyTmpStockTakingItem,RecDt,datetime
PhyTmpStockTakingItem,RecTime,datetime
POSActivityLogDtls,SystemDateTime,datetime
POSActivityLogDtls,SystemStartTime,datetime
POSActivityLogDtls,SystemEndTime,datetime
POSActivityLogHdr,SystemDateTime,datetime
POSActivityLogHdr,ShoperDate,datetime
POSActivityLogHdr,SystemStartTime,datetime
POSActivityLogHdr,SystemEndTime,datetime
POSCashTrn,DocDt,datetime
POSCashTrn,DocTime,datetime
POSCashTrn,DField1,datetime
POSCashTrn,DField2,datetime
POSCashTrn,DField3,datetime
POSCashTrn,XD1,datetime
POSCashTrn,XD2,datetime
POSCashTrn,XD3,datetime
POSCashTrn,XD4,datetime
POSCashTrn,CD1,datetime
POSCashTrn,CD2,datetime
POSCashTrn,CD3,datetime
POSCashTrn,CD4,datetime
Poslstloadeddtls,shoper_sysdt,datetime
Poslstloadeddtls,LastLoadedDate,datetime
Poslstloadeddtls,RecordFoundDate,datetime
PosModeBalances,Baldate,datetime
POSMODEDATADTLS,FLD7,datetime
POSMODEDATADTLS,FLD8,datetime
PriceLoadingLog,shoperDt,datetime
PriceLoadingLog,SystemDt,datetime
PriceRange,StartDate,datetime
PriceRange,EndDate,datetime
PriceRange,DateInsert,datetime
PriceRangeCatDtls,DateInsert,datetime
PriceRevision,RetailPriceEffectiveDate,datetime
PriceRevision,DealerPriceEffectiveDate,datetime
PriceRevision,ShoperDate,datetime
PriceRevision,SystemDate,datetime
PriceRevisionHistory,RetailPriceEffectiveDate,datetime
PriceRevisionHistory,DealerPriceEffectiveDate,datetime
PriceRevisionHistory,ShoperDate,datetime
PriceRevisionHistory,SystemDate,datetime
PriceRevisionHistory,DayBeginShoperDate,datetime
PriceRevisionHistory,DayBeginSystemDate,datetime
PromoArBuyItemGrpDtls,ItemMfgDate,datetime
PromoArBuyItemGrpDtls,ItemExpiryDate,datetime
PromoArGetItemGrpDtls,ItemMfgDate,datetime
PromoArGetItemGrpDtls,ItemExpiryDate,datetime
PromoArHeader,CreatedShoperDate,datetime
PromoArHeader,CreatedSystemDate,datetime
PromoArHeader,StartDate,datetime
PromoArHeader,StartTime,datetime
PromoArHeader,EndDate,datetime
PromoArHeader,EndTime,datetime
PromoArHeader,HappyHoursStartTime,datetime
PromoArHeader,HappyHoursEndTime,datetime
PromoArHeader,ExportedDate,datetime
PromoArHeader,ImportedDate,datetime
PromoArHeader,ArchShoperDate,datetime
PromoArHeader,ArchSystemDate,datetime
PromoLogBuyItemGrpDtls,ItemMfgDate,datetime
PromoLogBuyItemGrpDtls,ItemExpiryDate,datetime
PromoLogGetItemGrpDtls,ItemMfgDate,datetime
PromoLogGetItemGrpDtls,ItemExpiryDate,datetime
PromoLogHeader,CreatedShoperDate,datetime
PromoLogHeader,CreatedSystemDate,datetime
PromoLogHeader,StartDate,datetime
PromoLogHeader,StartTime,datetime
PromoLogHeader,EndDate,datetime
PromoLogHeader,EndTime,datetime
PromoLogHeader,HappyHoursStartTime,datetime
PromoLogHeader,HappyHoursEndTime,datetime
PromoLogHeader,ExportedDate,datetime
PromoLogHeader,ImportedDate,datetime
PromoLogHeader,LogShoperDate,datetime
PromoLogHeader,LogSystemDate,datetime
PromoMnBuyItemGrpDtls,ItemMfgDate,datetime
PromoMnBuyItemGrpDtls,ItemExpiryDate,datetime
PromoMnGetItemGrpDtls,ItemMfgDate,datetime
PromoMnGetItemGrpDtls,ItemExpiryDate,datetime
PromoMnHeader,CreatedShoperDate,datetime
PromoMnHeader,CreatedSystemDate,datetime
PromoMnHeader,StartDate,datetime
PromoMnHeader,StartTime,datetime
PromoMnHeader,EndDate,datetime
PromoMnHeader,EndTime,datetime
PromoMnHeader,HappyHoursStartTime,datetime
PromoMnHeader,HappyHoursEndTime,datetime
PromoMnHeader,ExportedDate,datetime
PromoMnHeader,ImportedDate,datetime
PromoMnIntermediate,ShoperDate,datetime
PromoMnIntermediate,CreatedDate,datetime
PromoMnIntermediate,HappyHoursStartTime,datetime
PromoMnIntermediate,HappyHoursEndTime,datetime
PtInvoiceDtl,BillDate,datetime
PtInvoiceDtl,BatchMfgDate,smalldatetime
PtInvoiceDtl,BatchExpDate,smalldatetime
PtInvoiceExtd01,BillDate,datetime
PtInvoiceExtd01,DateInsert,datetime
PtInvoiceHdr,BillDate,datetime
PtInvoiceHdr,BillActdDate,datetime
PtInvoiceHdr,DCDate,datetime
PtInvoiceHdr,GRNDate,datetime
PurchOrdDtl,PODate,datetime
PurchOrdDtl,DelDate,datetime
PurchOrdDtl,Dateinsert,datetime
PurchOrdDtl,LastModifiedDt,datetime
PurchOrdDtl,XD1,datetime
PurchOrdDtl,XD2,datetime
PurchOrdDtl,XD3,datetime
PurchOrdDtl,XD4,datetime
PurchOrdDtl,CD1,datetime
PurchOrdDtl,CD2,datetime
PurchOrdDtl,CD3,datetime
PurchOrdDtl,CD4,datetime
PurchOrdHdr,PODate,datetime
PurchOrdHdr,DelDate,datetime
PurchOrdHdr,Dateinsert,datetime
PurchOrdHdr,LastModifiedDt,datetime
PurchOrdHdr,ClosureDate,datetime
PurchOrdHdr,ReopenDatetime,datetime
PurchOrdHdr,XD1,datetime
PurchOrdHdr,XD2,datetime
PurchOrdHdr,XD3,datetime
PurchOrdHdr,XD4,datetime
PurchOrdHdr,CD1,datetime
PurchOrdHdr,CD2,datetime
PurchOrdHdr,CD3,datetime
PurchOrdHdr,CD4,datetime
PurchPlan,StartDt,datetime
PurchPlan,EndDt,datetime
PurgeLogHdr,PurgeDate,datetime
SalesFactors,ValidityStDt,datetime
SalesFactors,ValidityStTm,datetime
SalesFactors,ValidityEndDt,datetime
SalesFactors,ValidityEndTm,datetime
SalesFactors,AppStTm,datetime
SalesFactors,AppEndTm,datetime
SalesFactors,SF_MfgDate,datetime
SalesFactors,SF_ExpDate,datetime
SalesTaxCat,EffectiveDate,datetime
SalesTaxCat,AppliedDate,datetime
SalesTaxCat,DateInsert,datetime
SalesTaxRevision,EffectiveDate,datetime
SalesTaxRevision,AppliedDate,datetime
SalesTaxRevision,DateInsert,datetime
SalesTaxRevisionHistory,EffectiveDate,datetime
SalesTaxRevisionHistory,AppliedDate,datetime
SalesTaxRevisionHistory,DateInsert,datetime
SaleTrnHdr,DocDt,datetime
SaleTrnHdr,DocTime,datetime
SaleTrnHdr,TransDocDt,datetime
SaleTrnHdr,DField1,datetime
SaleTrnHdr,DField2,datetime
SaleTrnHdr,DField3,datetime
SaleTrnHdr,XD1,datetime
SaleTrnHdr,XD2,datetime
SaleTrnHdr,XD3,datetime
SaleTrnHdr,XD4,datetime
SaleTrnHdr,CD1,datetime
SaleTrnHdr,CD2,datetime
SaleTrnHdr,CD3,datetime
SaleTrnHdr,CD4,datetime
SchemesDefinitionDtls,DateInsert,datetime
SchemesDefinitionHdr,StartDate,datetime
SchemesDefinitionHdr,EndDate,datetime
SchemesDefinitionHdr,DateInsert,datetime
SchemesPointsSlabs,DateInsert,datetime
SeasonsMaster,StartDate,datetime
SeasonsMaster,EndDate,datetime
SeasonsMaster,DateInsert,datetime
SeasonsMasterLog,StartDate,datetime
SeasonsMasterLog,EndDate,datetime
SeasonsMasterLog,DateTimeChange,datetime
ShoperScriptUpdateInfo,DateExecuted,datetime
ShrmScript,DateInsert,datetime
ShrmScript,ExecutedShoperDate,datetime
ShrmScript,ExecutedSystemDate,datetime
ShrmScriptExtd,DateInsert,datetime
SISStatus,ShoperDate,datetime
SISStatus,DateInsert,datetime
SISStatus,DateUpdate,datetime
SPDefSettings,ValD,datetime
StkTrnAddlHdr,DocDt,datetime
StkTrnAddlHdr,LRDate,datetime
StkTrnDtls,DocDt,datetime
StkTrnDtls,DField1,datetime
StkTrnDtls,DField2,datetime
StkTrnDtls,DField3,datetime
StkTrnDtls,LinkPoDelDate,datetime
StkTrnDtls,XD1,datetime
StkTrnDtls,XD2,datetime
StkTrnDtls,XD3,datetime
StkTrnDtls,XD4,datetime
StkTrnDtls,CD1,datetime
StkTrnDtls,CD2,datetime
StkTrnDtls,CD3,datetime
StkTrnDtls,CD4,datetime
StkTrnDtlsExtd01,DateInsert,datetime
StkTrnEDhdr,DocDt,datetime
StkTrnEDhdr,EDDate,datetime
StkTrnEDhdr,LRdate,datetime
StkTrnEDhdr,RemovalDate,datetime
StkTrnEDhdr,RemovalTime,datetime
StkTrnHdr,DocDt,datetime
StkTrnHdr,DocTime,datetime
StkTrnHdr,PartyStkDocDt,datetime
StkTrnHdr,OrdDocDt,datetime
StkTrnHdr,AccDocDt,datetime
StkTrnHdr,DField1,datetime
StkTrnHdr,DField2,datetime
StkTrnHdr,DField3,datetime
StkTrnHdr,XD1,datetime
StkTrnHdr,XD2,datetime
StkTrnHdr,XD3,datetime
StkTrnHdr,XD4,datetime
StkTrnHdr,CD1,datetime
StkTrnHdr,CD2,datetime
StkTrnHdr,CD3,datetime
StkTrnHdr,CD4,datetime
StockCreditNote,DocDt,datetime
StockCreditNote,CreditNoteDt,datetime
StockMasterExtd02,DateInsert,datetime
StockMasterExtdOpBal,DateInsert,datetime
StockMasterExtdOpBal,ShoperDate,datetime
SubClass1Cat,Dateinsert,datetime
SubClass1Cat,Lastupdateddate,datetime
SubClass2Cat,Dateinsert,datetime
SubClass2Cat,Lastupdateddate,datetime
SysParam,Dt,datetime
TallyExportedTrans,VocherDt,datetime
TallyExportedTrans,ExportDt,datetime
TallyHSNRules,DateInsert,datetime
TallyMapSettingInfo,PostStartDate,datetime
TallyMapSettingInfo,LastPostedDate,datetime
TallyVchInfo,ExportDt,datetime
TallyVchInfo,VoucherDt,datetime
TempBatchParam,Dt,datetime
TempExtdMailingListsuper,DateInsert,datetime
TempExtdMailingListsuper,LastUpdatedDate,datetime
TempItemMastersuper,MfgDate,datetime
TempItemMastersuper,ExpDate,datetime
TempItemMastersuper,DField1,datetime
TempItemMastersuper,DField2,datetime
TempItemMastersuper,DField3,datetime
TempItemMastersuper,Dateinsert,datetime
TempItemMastersuper,Lastupdateddate,datetime
TempSysparamsuper,Dt,datetime
TempWhParams,Dt,datetime
TillOperationJournalDtls,TillTrndt,datetime
TillOperationJournalDtls,XD1,datetime
TillOperationJournalDtls,XD2,datetime
TillOperationJournalDtls,XD3,datetime
TillOperationJournalDtls,XD4,datetime
TillOperationJournalDtls,CD1,datetime
TillOperationJournalDtls,CD2,datetime
TillOperationJournalDtls,CD3,datetime
TillOperationJournalDtls,CD4,datetime
TillOperationJournalHdr,TillTrndt,datetime
TillOperationJournalHdr,TrnTime,datetime
TillOperationJournalHdr,XD1,datetime
TillOperationJournalHdr,XD2,datetime
TillOperationJournalHdr,XD3,datetime
TillOperationJournalHdr,XD4,datetime
TillOperationJournalHdr,CD1,datetime
TillOperationJournalHdr,CD2,datetime
TillOperationJournalHdr,CD3,datetime
TillOperationJournalHdr,CD4,datetime
TillShiftdtls,TillTrndt,datetime
TillShiftdtls,shiftstarttime,datetime
TillShiftdtls,shiftendtime,datetime
TillShiftdtls,XD1,datetime
TillShiftdtls,XD2,datetime
TillShiftdtls,XD3,datetime
TillShiftdtls,XD4,datetime
TillShiftdtls,CD1,datetime
TillShiftdtls,CD2,datetime
TillShiftdtls,CD3,datetime
TillShiftdtls,CD4,datetime
TillTrnswiseDenomination,Tilltrndt,datetime
TillTrnswiseDenomination,XD1,datetime
TillTrnswiseDenomination,XD2,datetime
TillTrnswiseDenomination,XD3,datetime
TillTrnswiseDenomination,XD4,datetime
TillTrnswiseDenomination,CD1,datetime
TillTrnswiseDenomination,CD2,datetime
TillTrnswiseDenomination,CD3,datetime
TillTrnswiseDenomination,CD4,datetime
TmpPriceMaster,MfgDate,datetime
TmpPriceMaster,ExpDate,datetime
tmpSysParamsuper,Dt,datetime
TripSheetDtls,DateInsert,datetime
TripSheetHdr,DocDate,datetime
TripSheetHdr,DateInsert,datetime
TripSheetStatusDtls,RescheduleDateTime,datetime
TripSheetStatusDtls,DeliveredDateTime,datetime
TripSheetStatusDtls,DateInsert,datetime
VersionDtls,VerDate,datetime
WalkIn,WalkInSysDate,datetime
WalkIn,WalkinCurrentDate,datetime
WalkIn,WalkinCurrentTime,datetime
